ts,cpu
1775413994.908667,22.45
1775413995.916201,24.46
1775413996.917853,21.78
1775413997.926579,25.11
1775413998.932574,23.68
1775413999.934596,23.66
1775414000.937096,21.72
1775414001.941101,23.12
1775414002.949159,23.60
1775414003.965132,24.21
1775414004.969934,24.52
1775414005.975342,23.53
1775414006.982688,24.41
1775414007.988034,25.70
1775414008.993255,24.43
1775414010.000547,23.31
1775414011.009896,23.05
1775414012.031873,23.89
1775414013.037527,27.21
1775414014.041885,24.83
1775414015.052355,23.92
1775414016.057427,24.13
1775414017.072274,24.72
1775414018.076650,24.46
1775414019.083952,24.66
1775414020.086075,22.56
1775414021.090326,21.75
1775414022.115544,21.35
1775414023.125377,22.24
1775414024.131288,24.15
1775414025.143301,23.48
1775414026.146308,22.83
1775414027.168746,23.76
1775414028.176943,26.26
1775414029.186426,26.21
1775414030.218097,23.69
1775414031.224823,23.38
1775414032.251495,24.00
1775414033.256962,22.17
1775414034.272090,21.95
1775414035.278932,22.99
1775414036.290129,22.64
1775414037.293925,26.36
1775414038.304565,26.40
1775414039.318975,23.17
1775414040.324378,23.26
1775414041.334448,23.17
1775414042.351239,25.66
1775414043.359748,27.03
1775414044.367611,23.64
1775414045.370272,24.46
1775414046.375094,20.17
1775414047.381350,21.95
1775414048.389178,24.74
1775414049.391973,25.59
1775414050.394523,23.24
1775414051.397997,21.74
1775414052.401227,25.17
1775414053.411444,26.11
1775414054.421239,26.10
1775414055.427594,24.97
1775414056.433327,24.17
1775414057.450969,26.83
1775414058.460038,25.39
1775414059.462627,19.88
1775414060.465121,20.68
1775414061.466465,20.74
1775414062.473300,22.25
1775414063.478791,24.52
1775414064.483630,23.73
1775414065.488026,23.97
1775414066.496203,23.16
1775414067.510690,24.61
1775414068.526200,26.51
1775414069.532969,25.00
1775414070.537889,21.61
1775414071.566243,20.93
1775414072.568353,25.33
1775414073.574202,26.00
1775414074.583633,24.97
1775414075.586449,23.81
1775414076.590744,24.38
1775414077.598635,26.57
1775414078.612615,24.89
1775414079.614996,24.83
1775414080.617319,21.61
1775414081.629252,22.22
1775414082.637095,25.11
1775414083.641156,21.62
1775414084.646112,22.66
1775414085.650934,22.92
1775414086.707534,25.11
1775414087.713862,25.97
1775414088.729320,24.89
1775414089.735883,22.60
1775414090.741365,21.35
1775414091.744030,22.62
1775414092.753974,24.18
1775414093.763625,24.58
1775414094.771913,23.73
1775414095.779793,21.26
1775414096.784016,23.33
1775414097.806606,26.39
1775414098.836223,26.56
1775414099.847465,26.77
1775414100.866679,26.65
1775414101.873358,28.36
1775414102.893977,28.89
1775414103.904272,26.85
1775414104.925329,27.32
1775414105.932068,25.94
1775414106.953188,29.41
1775414108.007215,29.63
1775414109.012625,27.09
1775414110.023124,26.38
1775414111.027659,23.95
1775414112.050774,20.97
1775414113.055236,24.72
1775414114.062531,25.06
1775414115.071959,25.28
1775414116.079732,23.36
1775414117.084556,23.97
1775414118.096844,26.02
1775414119.102120,26.14
1775414120.106537,23.68
1775414121.111223,22.34
1775414122.113617,25.25
1775414123.116505,24.83
1775414124.119773,24.40
1775414125.127721,23.24
1775414126.145700,24.78
1775414127.151464,24.47
1775414128.169623,26.85
1775414129.183400,27.46
1775414130.185671,25.84
1775414131.210339,23.56
1775414132.234546,25.68
1775414133.248234,27.86
1775414134.257580,27.12
1775414135.271116,25.27
1775414136.282092,24.09
1775414137.285558,24.83
1775414138.288428,27.46
1775414139.297527,25.67
1775414140.302774,25.76
1775414141.306594,22.07
1775414142.314686,25.50
1775414143.379672,25.55
1775414144.389643,25.86
1775414145.394273,23.83
1775414146.404195,24.72
1775414147.409978,26.57
1775414148.414654,27.16
1775414149.423248,25.33
1775414150.428156,22.22
1775414151.432401,21.50
1775414152.447452,26.35
1775414153.452775,24.69
1775414154.461460,24.66
1775414155.469403,24.97
1775414156.476987,25.17
1775414157.487448,24.83
1775414158.494113,25.80
1775414159.496597,25.25
1775414160.518567,25.38
1775414161.533022,25.14
1775414162.543006,27.23
1775414163.553649,27.35
1775414164.560862,21.83
1775414165.567030,21.67
1775414166.614722,21.82
1775414167.632188,25.69
1775414168.636697,26.83
1775414169.639536,26.00
1775414170.655964,24.41
1775414171.677161,26.70
1775414172.707251,26.65
1775414173.721994,27.61
1775414174.733160,27.62
1775414175.760705,26.74
1775414176.773853,25.00
1775414177.778631,25.95
1775414178.784439,21.95
1775414179.786690,23.51
1775414180.790529,22.58
1775414181.797074,24.40
1775414182.803747,26.33
1775414183.806211,26.33
1775414184.810105,25.36
1775414185.814251,25.34
1775414186.825131,25.08
1775414187.857711,26.83
1775414188.865157,26.71
1775414189.866587,25.11
1775414190.871185,23.05
1775414191.876323,22.39
1775414192.884392,25.25
1775414193.890880,24.35
1775414194.951359,24.36
1775414195.953278,23.22
1775414196.963778,26.56
1775414197.966172,25.06
1775414198.978276,27.04
1775414199.992584,27.36
1775414201.009854,25.72
1775414202.017106,25.50
1775414203.062187,26.28
1775414204.064245,26.22
1775414205.077917,25.98
1775414206.079688,21.74
1775414207.090241,24.03
1775414208.109026,28.65
1775414209.113671,25.59
1775414210.125522,23.27
1775414211.129327,25.03
1775414212.169878,25.54
1775414213.188848,27.08
1775414214.194751,27.48
1775414215.197878,26.57
1775414216.205173,24.46
1775414217.217447,26.67
1775414218.245802,27.75
1775414219.251417,29.61
1775414220.259930,26.30
1775414221.262709,25.08
1775414222.268313,25.50
1775414223.275111,25.56
1775414224.293258,26.23
1775414225.298841,25.00
1775414226.299712,23.14
1775414227.300679,26.64
1775414228.306054,24.58
1775414229.331799,25.46
1775414230.342127,23.92
1775414231.350025,22.43
1775414232.384100,24.37
1775414233.404673,26.57
1775414234.410800,25.37
1775414235.421153,21.29
1775414236.435321,22.08
1775414237.441457,25.31
1775414238.446989,24.80
1775414239.453588,23.71
1775414240.457040,21.95
1775414241.463992,23.10
1775414242.466243,25.70
1775414243.472026,25.37
1775414244.479813,23.64
1775414245.488730,22.57
1775414246.495264,21.19
1775414247.502291,20.51
1775414248.504803,22.75
1775414249.511369,24.06
1775414250.514016,23.10
1775414251.522370,21.92
1775414252.527036,24.18
1775414253.535797,27.83
1775414254.548196,26.51
1775414255.551215,25.84
1775414256.561519,25.17
1775414257.568159,27.01
1775414258.579336,25.47
1775414259.582517,24.24
1775414260.590535,21.10
1775414261.596417,20.27
1775414262.599759,24.66
1775414263.612819,25.66
1775414264.619770,24.29
1775414265.631201,23.27
1775414266.645331,24.38
1775414267.659211,25.08
1775414268.675036,24.92
1775414269.680571,23.68
1775414270.684847,21.89
1775414271.689572,21.76
1775414272.691845,22.00
1775414273.694848,22.48
1775414274.704634,22.21
1775414275.709061,21.42
1775414276.710854,22.35
1775414277.714754,23.66
1775414278.716498,24.06
1775414279.724589,24.15
1775414280.735968,25.53
1775414281.767965,26.41
1775414282.780393,27.23
1775414283.784131,24.37
1775414284.790146,21.19
1775414285.795540,21.42
1775414286.801273,22.94
1775414287.806629,24.86
1775414288.808410,23.08
1775414289.815434,21.25
1775414290.818386,22.42
1775414291.834057,22.18
1775414292.839151,23.77
1775414293.849055,25.45
