ts,cpu
1775412111.793191,26.00
1775412112.805286,27.54
1775412113.814578,29.12
1775412114.820911,27.42
1775412115.839278,25.76
1775412116.846352,26.79
1775412117.854808,27.27
1775412118.859161,27.27
1775412119.875411,27.86
1775412120.880111,26.51
1775412121.915188,27.14
1775412122.926155,28.95
1775412123.930314,26.43
1775412124.934103,22.83
1775412125.963104,24.53
1775412126.973597,25.86
1775412127.982521,27.29
1775412128.995910,25.52
1775412130.007229,25.14
1775412131.009440,25.14
1775412132.018890,25.42
1775412133.037954,27.70
1775412134.041397,25.11
1775412135.047708,26.41
1775412136.050833,25.34
1775412137.066320,24.58
1775412138.074705,27.21
1775412139.076296,22.35
1775412140.090304,23.31
1775412141.099524,24.01
1775412142.112719,26.21
1775412143.119351,26.53
1775412144.130163,26.43
1775412145.137624,26.66
1775412146.142363,24.15
1775412147.155004,24.47
1775412148.158800,27.83
1775412149.177524,28.25
1775412150.184666,25.11
1775412151.191097,23.31
1775412152.196007,22.95
1775412153.199670,25.08
1775412154.201102,22.95
1775412155.213282,24.75
1775412156.219671,23.03
1775412157.222005,25.98
1775412158.232231,25.59
1775412159.233804,26.74
1775412160.238630,24.41
1775412161.247306,23.95
1775412162.255338,25.67
1775412163.259453,26.04
1775412164.275083,25.50
1775412165.283867,23.72
1775412166.287859,20.46
1775412167.300137,24.72
1775412168.308977,25.75
1775412169.313932,23.66
1775412170.322955,22.25
1775412171.334361,21.65
1775412172.337874,24.94
1775412173.357008,25.25
1775412174.367280,26.27
1775412175.389537,24.94
1775412176.406985,23.72
1775412177.431614,25.64
1775412178.436904,24.58
1775412179.470961,21.66
1775412180.478841,22.17
1775412181.484792,23.35
1775412182.488178,26.43
1775412183.510160,27.25
1775412184.515139,23.57
1775412185.521115,25.00
1775412186.548453,26.56
1775412187.561388,26.43
1775412188.566606,27.22
1775412189.576007,24.49
1775412190.583348,22.83
1775412191.592495,22.77
1775412192.595982,22.47
1775412193.603405,24.20
