ts,cpu
1775414296.532099,23.53
1775414297.540789,24.52
1775414298.546246,23.66
1775414299.552122,21.70
1775414300.554209,21.09
1775414301.560390,22.34
1775414302.570518,23.92
1775414303.575014,25.53
1775414304.588949,23.81
1775414305.592725,23.98
1775414306.596722,19.83
1775414307.605675,21.62
1775414308.618302,23.84
1775414309.627748,24.38
1775414310.631325,22.33
1775414311.640766,22.61
1775414312.643600,25.88
1775414313.648562,26.09
1775414314.657221,25.00
1775414315.674248,24.53
1775414316.682740,23.30
1775414317.688933,26.60
1775414318.691761,24.14
1775414319.698594,20.46
1775414320.702449,20.58
1775414321.715998,21.78
1775414322.732181,23.01
1775414323.736999,25.59
1775414324.741515,26.73
1775414325.754112,23.78
1775414326.765642,25.67
1775414327.776166,26.89
1775414328.815282,24.22
1775414329.824071,24.00
1775414330.828238,20.39
1775414331.837942,20.46
1775414332.839291,25.11
1775414333.853941,25.83
1775414334.894362,24.50
1775414335.900209,21.79
1775414336.904875,22.08
1775414337.918758,24.50
1775414338.922925,24.03
1775414339.928339,24.32
1775414340.929563,23.31
1775414341.934523,24.37
1775414342.944198,24.21
1775414343.948002,23.84
1775414344.953569,23.25
1775414345.956280,23.91
1775414346.960199,23.84
1775414347.971890,26.37
1775414348.975346,24.43
1775414349.987561,24.83
1775414350.992770,23.25
1775414352.001142,25.11
1775414353.004035,25.48
1775414354.009262,24.60
1775414355.011885,21.93
1775414356.020728,20.90
1775414357.024152,24.20
1775414358.030594,25.64
1775414359.034630,24.17
1775414360.037888,22.08
1775414361.040517,21.96
1775414362.051357,24.00
1775414363.058617,24.69
1775414364.072857,26.51
1775414365.078271,25.89
1775414366.095989,25.85
1775414367.099227,26.16
1775414368.103127,25.17
1775414369.110638,26.51
1775414370.118910,24.80
1775414371.131534,23.35
1775414372.177299,25.70
1775414373.187796,28.63
1775414374.192797,25.78
1775414375.238943,25.48
1775414376.272373,24.78
1775414377.278942,27.24
1775414378.305200,27.60
1775414379.314524,26.06
1775414380.325867,24.41
1775414381.329635,22.76
1775414382.333682,22.39
1775414383.344902,22.45
