ts,cpu
1775412413.362464,27.78
1775412414.369156,25.50
1775412415.374193,25.17
1775412416.391017,24.13
1775412417.393216,25.25
1775412418.408795,25.14
1775412419.414040,24.72
1775412420.418285,23.48
1775412421.426929,21.79
1775412422.438574,24.00
1775412423.446393,24.69
1775412424.452451,24.09
1775412425.457226,23.48
1775412426.463742,21.72
1775412427.467219,22.22
1775412428.473573,23.86
1775412429.478980,23.40
1775412430.484333,22.83
1775412431.487503,22.11
1775412432.491762,24.69
1775412433.496289,22.54
1775412434.498859,21.36
1775412435.504513,21.92
1775412436.510171,22.16
1775412437.517004,24.92
1775412438.523080,24.46
1775412439.526892,22.60
1775412440.530798,21.72
1775412441.538437,21.23
1775412442.542871,24.06
1775412443.544806,24.23
1775412444.552111,23.46
1775412445.559242,21.28
1775412446.561156,19.78
1775412447.563008,25.62
1775412448.572439,26.30
1775412449.579004,27.86
1775412450.584101,25.92
1775412451.592536,25.31
1775412452.616618,30.88
1775412453.623064,30.40
1775412454.636029,29.27
1775412455.639114,27.98
1775412456.651751,24.35
1775412457.666851,26.61
1775412458.670027,25.92
1775412459.674698,24.18
1775412460.678957,22.48
1775412461.683541,22.11
1775412462.689261,24.27
1775412463.694102,25.72
1775412464.706423,24.83
1775412465.712107,25.89
1775412466.746380,24.78
1775412467.756601,27.02
1775412468.767099,26.79
1775412469.771311,23.74
1775412470.775882,22.01
1775412471.782090,24.35
1775412472.791895,25.81
1775412473.796267,24.01
1775412474.803040,21.14
1775412475.807945,22.81
1775412476.812904,23.69
1775412477.836966,25.85
1775412478.853101,26.43
1775412479.855547,22.95
1775412480.857597,22.33
1775412481.868812,26.56
1775412482.874023,27.45
1775412483.889416,27.34
1775412484.896876,26.18
1775412485.900131,25.81
1775412486.912093,26.92
1775412487.915169,25.78
1775412488.922426,23.26
1775412489.931544,23.14
1775412490.935659,23.01
1775412491.944408,24.63
1775412492.955830,25.06
1775412493.966344,23.25
1775412494.968553,23.13
1775412495.971110,24.14
1775412496.982545,24.75
1775412497.986892,25.62
1775412498.992963,24.41
1775412499.998968,24.18
1775412501.006427,21.27
1775412502.021256,21.82
1775412503.026930,24.26
1775412504.030065,23.63
1775412505.043794,22.62
1775412506.044999,21.69
1775412507.052127,22.70
1775412508.058149,26.37
1775412509.063240,24.18
1775412510.076416,25.47
1775412511.084085,22.85
1775412512.121209,25.70
1775412513.124812,28.07
1775412514.126304,21.88
1775412515.130048,21.00
1775412516.131145,22.03
1775412517.146098,22.43
1775412518.154385,24.21
1775412519.155294,23.85
1775412520.161318,22.09
1775412521.164250,21.37
1775412522.166888,22.88
1775412523.217416,25.21
1775412524.221292,25.06
1775412525.225031,23.70
1775412526.235691,22.57
1775412527.236820,24.66
1775412528.255465,25.30
1775412529.258352,24.06
1775412530.281356,23.97
1775412531.299864,22.53
1775412532.302892,25.17
1775412533.334045,24.78
1775412534.338160,23.95
1775412535.348500,24.64
1775412536.351035,23.38
1775412537.356408,23.86
1775412538.360667,22.14
1775412539.364978,22.18
1775412540.376733,21.61
1775412541.380723,23.92
1775412542.389060,25.75
1775412543.398808,27.82
1775412544.406438,24.52
1775412545.410727,24.58
1775412546.422299,23.54
1775412547.425153,26.73
1775412548.427467,25.51
1775412549.432395,23.71
1775412550.438926,21.51
1775412551.442678,19.78
1775412552.448418,22.77
1775412553.461930,24.43
1775412554.464897,24.92
1775412555.482069,24.86
1775412556.492670,23.11
1775412557.494102,25.20
1775412558.496021,26.54
1775412559.503463,25.11
1775412560.507064,24.24
1775412561.510251,25.31
1775412562.513204,27.23
1775412563.529574,26.12
1775412564.534733,22.79
1775412565.551555,23.85
1775412566.559043,23.39
1775412567.566977,26.89
1775412568.613666,27.18
1775412569.616651,28.48
1775412570.627092,26.89
1775412571.629412,25.97
1775412572.655887,29.34
1775412573.675263,26.52
1775412574.681070,24.18
1775412575.686979,24.63
1775412576.688956,24.26
1775412577.692069,26.66
1775412578.710621,24.18
1775412579.714445,22.95
1775412580.722292,23.83
1775412581.729249,24.47
1775412582.775749,25.00
1775412583.784768,25.84
1775412584.795964,23.30
1775412585.804882,23.71
1775412586.808528,22.76
1775412587.824850,26.23
1775412588.829927,26.38
1775412589.839956,24.18
1775412590.854840,23.81
1775412591.866390,22.12
1775412592.874116,23.93
1775412593.886924,24.89
1775412594.901017,26.63
1775412595.908978,24.66
1775412596.912731,26.11
1775412597.931464,27.84
1775412598.942265,27.88
1775412599.949033,27.35
1775412600.962381,25.58
1775412601.973536,28.69
1775412602.985307,29.36
1775412603.986621,27.89
1775412605.002421,25.06
1775412606.003408,24.11
1775412607.015801,21.89
1775412608.027009,23.58
1775412609.032794,24.24
1775412610.039562,23.95
1775412611.053021,23.10
1775412612.063805,25.03
1775412613.081994,25.94
1775412614.109071,25.41
1775412615.119367,25.61
1775412616.168099,26.03
1775412617.177576,28.28
1775412618.193924,26.49
1775412619.199186,26.79
1775412620.203828,24.29
1775412621.210241,21.10
1775412622.215130,24.69
1775412623.222156,26.23
1775412624.229563,25.55
1775412625.236289,24.63
1775412626.250698,22.97
1775412627.265425,24.52
1775412628.295058,27.83
1775412629.302002,26.43
1775412630.318645,24.86
1775412631.331274,25.80
1775412632.351243,28.00
1775412633.359154,25.89
1775412634.363081,24.23
1775412635.375942,22.29
1775412636.382766,22.88
1775412637.399164,24.97
1775412638.400985,25.48
1775412639.416071,24.24
1775412640.421421,21.78
1775412641.438266,22.09
1775412642.444698,23.83
1775412643.456005,24.60
1775412644.465134,23.93
1775412645.471029,22.86
1775412646.474974,21.83
1775412647.476395,23.73
1775412648.481075,24.52
1775412649.488183,22.71
1775412650.491220,22.65
1775412651.491767,22.44
1775412652.504594,25.25
1775412653.529219,24.41
1775412654.530305,24.53
1775412655.587731,23.75
1775412656.592263,24.15
1775412657.599038,23.92
1775412658.614875,21.78
1775412659.619046,22.65
1775412660.623574,22.51
1775412661.626274,25.45
1775412662.637672,27.20
1775412663.640769,24.38
1775412664.662151,23.29
1775412665.667113,25.20
1775412666.669529,23.32
1775412667.674031,24.86
1775412668.690770,23.60
1775412669.694795,24.10
1775412670.696868,20.36
1775412671.728747,21.35
1775412672.741947,23.89
1775412673.747014,25.91
1775412674.748328,24.04
1775412675.753607,23.12
1775412676.765265,24.38
1775412677.776951,26.07
1775412678.780228,25.17
1775412679.782499,23.48
1775412680.785247,21.14
1775412681.794559,23.81
1775412682.797317,22.52
1775412683.801466,23.26
1775412684.805378,22.77
1775412685.807860,22.20
1775412686.818213,22.31
1775412687.822593,24.80
1775412688.825866,23.95
1775412689.830285,24.46
1775412690.831648,23.43
1775412691.839386,24.63
1775412692.844433,27.51
1775412693.877188,25.95
1775412694.879973,25.27
1775412695.887281,20.72
1775412696.893049,22.03
1775412697.911873,24.55
1775412698.919662,24.30
1775412699.922548,23.75
1775412700.928926,20.60
1775412701.933602,23.41
1775412702.940564,23.89
1775412703.945534,25.50
1775412704.950317,23.39
1775412705.958733,21.81
1775412706.968187,24.00
1775412707.977939,22.14
1775412708.987162,23.71
1775412709.990745,21.53
1775412710.993648,20.65
1775412712.075336,23.06
1775412713.082793,23.21
