ts,cpu
1775411508.533999,25.53
1775411509.536524,23.39
1775411510.546309,22.99
1775411511.558237,25.17
1775411512.617594,26.00
1775411513.627370,27.32
1775411514.633923,24.52
1775411515.640046,24.46
1775411516.650293,23.78
1775411517.653042,24.60
1775411518.662900,25.63
1775411519.671458,23.74
1775411520.674206,25.56
1775411521.678276,23.74
1775411522.696670,27.62
1775411523.710401,25.80
1775411524.726152,25.08
1775411525.731204,23.07
1775411526.757000,24.86
1775411527.761204,25.11
1775411528.764830,23.81
1775411529.775416,24.52
1775411530.782769,21.68
1775411531.787095,22.00
1775411532.790669,24.11
1775411533.804883,24.46
1775411534.812830,23.92
1775411535.817361,21.79
1775411536.821006,21.20
1775411537.835363,25.03
1775411538.839620,23.55
1775411539.846535,23.39
1775411540.880991,21.73
1775411541.884618,22.55
1775411542.886344,22.48
1775411543.888364,23.45
1775411544.889412,24.24
1775411545.900954,23.58
1775411546.905512,22.20
1775411547.911740,24.12
1775411548.917243,26.00
1775411549.923147,26.60
1775411550.931308,23.19
1775411551.943012,24.53
1775411552.948007,26.89
1775411553.955661,24.43
1775411554.964209,21.14
1775411555.974304,22.77
1775411556.977647,24.41
1775411557.985960,26.92
1775411558.990294,24.66
1775411559.996327,23.95
1775411560.999337,23.31
1775411562.013527,25.00
1775411563.020689,26.98
1775411564.023859,24.63
1775411565.031961,23.66
1775411566.034563,21.63
1775411567.039580,22.89
1775411568.043048,23.89
1775411569.048899,23.56
1775411570.051906,22.44
1775411571.059600,20.55
1775411572.070168,21.86
1775411573.073971,24.52
1775411574.079401,22.53
1775411575.081437,23.26
1775411576.082309,22.57
1775411577.087907,23.22
1775411578.101040,24.64
1775411579.110704,23.13
1775411580.115033,20.69
1775411581.117592,22.14
1775411582.143856,25.30
1775411583.145840,25.25
1775411584.148603,23.07
1775411585.163813,23.84
1775411586.175686,23.84
1775411587.183160,24.72
1775411588.185959,25.39
1775411589.203038,24.41
1775411590.206553,22.66
1775411591.211200,21.69
1775411592.222386,24.41
1775411593.231169,24.13
1775411594.234596,24.94
1775411595.241661,22.98
1775411596.253099,23.27
1775411597.261038,25.99
1775411598.270450,27.29
1775411599.286183,25.14
1775411600.291269,25.39
1775411601.304853,25.03
1775411602.311770,26.45
1775411603.313228,25.58
1775411604.318334,22.43
1775411605.320267,21.10
1775411606.324835,22.20
1775411607.333783,25.56
1775411608.336912,26.87
1775411609.341583,26.06
1775411610.346142,26.59
1775411611.357282,22.83
1775411612.375861,26.72
1775411613.391212,26.58
1775411614.395196,23.62
1775411615.399886,24.66
1775411616.410804,22.80
1775411617.413498,24.36
1775411618.423144,25.11
1775411619.425256,24.40
1775411620.437301,23.77
1775411621.447062,22.54
1775411622.467263,27.40
1775411623.475013,26.19
1775411624.490847,26.23
1775411625.495587,25.28
1775411626.512896,22.84
1775411627.532668,26.83
1775411628.536811,26.43
1775411629.541227,23.33
1775411630.544410,24.58
1775411631.554276,22.85
1775411632.560000,21.96
1775411633.565902,23.97
1775411634.580057,23.28
1775411635.591576,23.68
1775411636.599180,22.55
1775411637.621351,22.46
1775411638.625265,25.31
1775411639.627972,24.29
1775411640.638813,24.66
1775411641.669918,25.70
1775411642.677894,27.97
1775411643.682012,26.72
1775411644.688852,24.49
1775411645.694256,21.84
1775411646.696028,22.57
1775411647.702931,26.62
1775411648.709645,27.10
1775411649.712665,23.86
1775411650.719543,21.76
1775411651.736525,23.16
1775411652.741379,25.51
1775411653.747390,24.35
1775411654.756953,24.21
1775411655.764764,23.67
1775411656.773658,23.92
1775411657.780024,22.42
1775411658.789034,22.95
1775411659.792923,23.08
1775411660.800909,23.31
1775411661.807883,23.53
1775411662.817931,25.11
1775411663.821566,25.75
1775411664.830365,24.66
1775411665.831827,24.37
1775411666.850340,24.58
1775411667.857294,26.86
1775411668.859273,26.24
1775411669.866212,26.00
1775411670.873328,21.35
1775411671.884362,23.87
1775411672.887210,26.64
1775411673.896708,24.75
