ts,cpu
1775412714.947061,23.26
1775412715.950629,23.01
1775412716.962404,22.90
1775412717.969595,25.14
1775412718.972837,23.53
1775412719.977095,19.56
1775412720.984011,20.93
1775412721.989932,23.48
1775412722.992960,27.12
1775412723.996087,24.74
1775412724.997659,23.96
1775412726.009287,23.01
1775412727.013063,25.47
1775412728.025029,26.08
1775412729.039090,25.00
1775412730.045037,23.34
1775412731.049998,21.12
1775412732.060346,20.92
1775412733.085296,24.23
1775412734.099232,23.22
1775412735.104995,22.27
1775412736.110235,21.90
1775412737.115071,25.17
1775412738.127624,26.29
1775412739.134155,23.86
1775412740.135813,22.14
1775412741.162566,21.67
1775412742.166320,23.13
1775412743.179011,21.67
1775412744.181535,21.36
1775412745.188010,20.86
1775412746.192273,21.70
1775412747.194996,22.98
1775412748.198196,25.20
1775412749.210324,26.00
1775412750.219203,25.85
1775412751.225432,23.80
1775412752.234969,27.23
1775412753.238046,26.37
1775412754.243256,27.02
1775412755.245381,26.18
1775412756.249873,21.83
1775412757.255985,22.44
1775412758.261926,24.40
1775412759.267786,24.63
1775412760.276983,23.95
1775412761.288391,23.29
1775412762.305431,24.63
1775412763.323209,26.69
1775412764.327529,24.89
1775412765.337152,22.27
1775412766.349155,23.09
1775412767.359660,25.88
1775412768.362829,24.43
1775412769.364950,21.26
1775412770.369523,22.58
1775412771.383425,22.55
1775412772.393941,23.85
1775412773.395881,25.75
1775412774.423190,24.53
1775412775.423893,23.53
1775412776.432126,22.84
1775412777.452313,26.20
1775412778.455950,26.05
1775412779.462596,25.83
1775412780.467910,23.30
1775412781.472616,21.49
1775412782.476019,25.06
1775412783.496381,23.68
1775412784.509166,23.07
1775412785.514105,23.56
1775412786.534006,23.08
1775412787.551597,22.44
1775412788.556631,24.15
1775412789.563660,23.17
1775412790.565180,22.38
1775412791.566857,22.12
1775412792.570647,24.18
1775412793.576141,22.35
1775412794.585834,22.72
1775412795.591790,22.04
1775412796.596822,22.29
1775412797.607534,24.07
1775412798.611515,24.04
1775412799.614183,22.48
1775412800.616953,21.08
1775412801.621978,21.37
1775412802.635117,24.41
1775412803.639263,22.94
1775412804.648040,21.09
1775412805.651993,22.58
1775412806.659327,21.64
1775412807.669150,25.31
1775412808.684413,27.05
1775412809.686273,25.73
1775412810.695599,24.32
1775412811.721895,24.56
1775412812.728057,24.35
1775412813.730927,25.31
1775412814.745281,24.01
1775412815.751988,23.40
1775412816.769123,22.13
1775412817.770874,20.98
1775412818.778414,23.95
1775412819.781619,22.96
1775412820.784048,21.47
1775412821.790590,21.63
1775412822.800300,22.72
1775412823.803860,25.14
1775412824.811960,23.59
1775412825.813397,22.83
1775412826.817319,23.01
1775412827.822239,24.89
1775412828.827433,22.66
1775412829.836234,21.62
1775412830.837365,22.25
1775412831.841519,23.91
1775412832.849993,24.04
1775412833.851646,25.48
1775412834.860966,23.58
1775412835.865368,23.00
1775412836.872431,22.93
1775412837.876082,26.16
1775412838.880591,25.23
1775412839.887517,22.35
1775412840.895551,21.73
1775412841.899186,21.35
1775412842.904145,23.94
1775412843.910341,23.97
1775412844.913603,24.46
1775412845.922253,24.49
1775412846.923578,25.00
1775412847.934464,28.16
1775412848.952953,27.53
1775412849.957714,24.94
1775412850.962132,23.91
1775412851.985116,25.50
1775412852.995240,24.86
1775412854.003913,24.29
1775412855.007231,20.05
1775412856.019846,20.96
1775412857.025899,23.21
1775412858.038695,24.52
1775412859.043729,23.33
1775412860.046383,21.61
1775412861.055158,21.54
1775412862.075826,24.02
1775412863.083425,25.17
1775412864.096266,23.58
1775412865.102299,23.97
1775412866.106570,22.01
1775412867.108806,20.19
1775412868.127099,23.76
1775412869.129810,25.08
1775412870.142288,23.87
1775412871.147429,22.22
1775412872.173133,24.17
1775412873.181651,25.64
1775412874.186283,24.11
1775412875.197004,23.39
1775412876.203942,22.77
1775412877.206400,23.80
1775412878.210048,23.17
1775412879.216800,19.88
1775412880.219191,20.93
1775412881.238585,21.43
1775412882.241947,23.95
1775412883.245426,22.39
1775412884.250266,22.57
1775412885.260096,22.39
1775412886.267919,21.97
1775412887.277566,24.94
1775412888.294157,25.33
1775412889.299421,24.10
1775412890.302121,21.22
1775412891.304044,21.22
1775412892.311682,24.29
1775412893.315871,24.80
1775412894.321611,25.03
1775412895.324280,24.37
1775412896.331816,24.43
1775412897.339316,24.20
1775412898.349083,25.83
1775412899.352557,24.46
1775412900.365216,25.20
1775412901.368942,23.20
1775412902.377156,23.95
1775412903.387078,23.27
1775412904.394269,22.20
1775412905.396138,23.51
1775412906.400565,22.58
1775412907.413121,25.06
1775412908.417636,25.11
1775412909.423048,24.29
1775412910.429526,21.97
1775412911.436728,21.94
1775412912.444404,23.19
1775412913.449437,22.62
1775412914.456931,19.93
1775412915.463238,20.74
1775412916.471138,21.79
1775412917.474699,24.58
1775412918.481187,23.58
1775412919.483764,21.58
1775412920.487777,21.51
1775412921.495193,22.13
1775412922.501035,24.46
1775412923.506167,24.52
1775412924.511497,22.96
1775412925.514581,22.83
1775412926.518650,20.17
1775412927.529560,23.98
1775412928.532010,25.67
1775412929.540148,25.45
1775412930.552377,23.12
1775412931.555260,23.17
1775412932.557381,25.78
1775412933.565804,26.94
1775412934.571563,26.07
1775412935.580985,26.36
1775412936.583888,22.45
1775412937.597213,24.35
1775412938.600234,22.80
1775412939.643276,22.30
1775412940.644043,20.55
1775412941.650079,21.49
1775412942.653250,23.06
1775412943.661334,23.62
1775412944.666461,23.23
1775412945.674520,20.60
1775412946.679771,21.33
1775412947.687283,24.43
1775412948.696395,23.28
1775412949.698765,22.17
1775412950.703768,19.90
1775412951.710923,20.72
1775412952.718927,23.05
1775412953.730629,22.40
1775412954.736615,23.65
1775412955.751756,22.81
1775412956.757646,23.11
1775412957.774457,25.30
1775412958.776564,27.17
1775412959.787115,24.58
1775412960.790042,23.96
1775412961.797587,19.51
