ts,cpu
1775413090.125898,24.07
1775413091.131992,22.33
1775413092.179217,23.56
1775413093.198336,24.41
1775413094.206685,24.94
1775413095.210388,24.29
1775413096.216175,26.47
1775413097.229297,26.79
1775413098.255920,27.78
1775413099.259381,26.74
1775413100.265912,25.42
1775413101.275515,22.65
1775413102.283873,25.59
1775413103.289679,25.22
1775413104.293459,25.83
1775413105.303240,25.67
1775413106.309915,24.06
1775413107.319670,23.81
1775413108.381971,27.37
1775413109.390504,26.89
1775413110.397897,24.38
1775413111.432121,25.62
1775413112.437780,28.06
1775413113.448018,29.21
1775413114.467339,26.84
1775413115.471041,28.25
1775413116.478195,23.03
1775413117.479126,24.66
1775413118.485662,25.45
1775413119.502523,24.89
1775413120.507279,25.00
1775413121.511984,23.48
1775413122.515703,26.80
1775413123.532312,25.39
1775413124.534303,25.14
1775413125.543139,22.47
1775413126.544966,23.53
1775413127.566206,27.53
1775413128.578692,26.15
1775413129.583696,25.33
1775413130.587564,22.09
1775413131.593559,22.27
1775413132.596579,24.75
1775413133.600750,25.31
1775413134.609375,24.26
1775413135.617542,24.78
1775413136.622026,23.19
1775413137.628124,26.27
1775413138.644292,26.63
1775413139.651649,22.99
1775413140.653854,22.85
1775413141.657939,22.51
1775413142.680830,26.96
1775413143.683588,22.40
1775413144.689012,22.85
1775413145.689896,24.60
1775413146.698384,25.94
1775413147.718094,26.30
1775413148.723073,26.53
1775413149.786976,24.35
1775413150.794210,24.66
1775413151.802181,25.50
1775413152.815055,28.72
1775413153.826288,28.45
1775413154.841382,27.19
1775413155.846311,25.17
1775413156.851810,24.52
1775413157.860196,23.83
1775413158.870041,22.76
1775413159.876628,22.51
1775413160.882772,21.81
1775413161.884815,24.40
1775413162.891847,25.17
1775413163.906953,27.23
1775413164.926352,25.56
1775413165.928157,25.81
1775413166.930510,24.58
1775413167.946743,27.28
1775413168.978632,28.17
1775413170.000768,27.66
1775413171.007161,23.56
1775413172.018948,24.07
1775413173.022958,28.76
1775413174.032901,26.90
1775413175.040668,26.13
1775413176.045317,25.45
1775413177.070203,27.75
1775413178.071895,26.48
1775413179.086152,26.11
1775413180.091073,25.80
1775413181.094492,24.72
1775413182.098114,24.77
1775413183.100926,24.35
1775413184.105206,27.07
1775413185.121081,25.95
1775413186.124181,21.38
1775413187.131334,22.60
1775413188.133572,25.08
1775413189.143990,24.72
1775413190.146722,21.86
1775413191.155292,22.47
1775413192.198624,24.87
1775413193.206950,26.35
1775413194.213293,25.67
1775413195.242640,24.62
1775413196.249901,25.36
1775413197.264306,26.87
1775413198.270588,26.39
1775413199.289084,23.54
1775413200.297249,24.52
1775413201.310784,22.95
1775413202.351046,26.62
1775413203.412687,26.21
1775413204.415192,25.17
1775413205.419323,23.39
1775413206.426318,24.86
1775413207.433117,26.05
1775413208.443829,26.22
1775413209.448318,25.33
1775413210.451885,24.74
1775413211.466059,24.38
1775413212.469289,23.47
1775413213.492891,20.99
1775413214.500672,22.91
1775413215.507459,21.67
1775413216.531787,23.01
1775413217.542900,24.78
1775413218.549224,24.86
1775413219.553310,23.62
1775413220.558070,20.91
1775413221.590350,23.50
1775413222.594626,25.64
1775413223.600359,25.50
1775413224.602529,23.52
1775413225.611511,21.54
1775413226.617929,21.02
1775413227.625819,23.16
1775413228.629913,26.18
1775413229.634742,25.52
1775413230.643084,23.30
1775413231.648314,23.34
1775413232.655970,26.86
1775413233.662653,23.63
1775413234.678860,23.87
1775413235.683995,24.49
1775413236.691262,23.01
1775413237.697617,20.74
1775413238.713585,22.78
1775413239.728182,23.50
1775413240.732795,21.50
1775413241.738280,21.55
1775413242.745891,24.20
1775413243.749665,25.36
1775413244.755635,26.00
1775413245.760586,22.95
1775413246.765565,23.48
1775413247.771570,26.35
1775413248.777119,24.92
1775413249.780750,22.33
1775413250.788827,20.27
1775413251.797001,22.40
1775413252.803512,24.32
1775413253.807229,23.89
1775413254.817565,24.55
1775413255.841335,23.27
1775413256.845407,25.53
1775413257.856195,25.58
1775413258.864190,25.86
1775413259.869075,24.77
1775413260.875884,22.75
1775413261.892346,25.77
1775413262.915871,24.86
1775413263.937459,23.83
1775413264.940135,24.49
1775413265.944367,24.46
1775413266.957963,26.74
1775413267.969630,26.59
1775413268.981109,24.64
1775413269.983971,22.98
1775413270.986840,23.86
1775413272.013090,24.83
1775413273.018811,25.56
1775413274.027327,25.86
1775413275.032789,23.90
1775413276.039969,22.69
1775413277.043321,22.40
1775413278.049986,26.39
1775413279.061282,25.97
1775413280.072878,26.25
1775413281.074858,23.62
1775413282.076891,22.58
1775413283.090704,25.78
1775413284.102054,25.14
1775413285.104571,26.73
1775413286.108076,23.65
1775413287.113317,24.92
1775413288.116304,24.24
1775413289.136164,25.88
1775413290.144597,22.82
1775413291.149214,21.79
1775413292.157915,24.75
1775413293.163267,25.25
1775413294.170055,22.66
1775413295.179966,24.64
1775413296.186754,24.12
1775413297.198866,25.00
1775413298.202352,25.00
1775413299.207162,24.49
1775413300.221555,23.46
1775413301.225183,21.75
1775413302.232115,21.56
1775413303.235121,22.88
1775413304.243017,22.85
1775413305.255006,22.14
1775413306.258300,21.42
1775413307.266798,23.60
1775413308.271018,25.89
1775413309.280191,23.64
1775413310.283010,22.81
1775413311.284613,21.91
1775413312.293424,23.95
1775413313.309419,23.01
1775413314.323418,22.62
1775413315.325588,23.31
1775413316.330498,22.44
1775413317.335811,23.46
1775413318.361122,26.13
1775413319.364409,25.17
1775413320.367574,24.09
1775413321.372862,22.61
1775413322.414852,25.97
1775413323.419921,24.16
1775413324.427008,20.22
1775413325.428827,21.50
1775413326.437340,21.86
1775413327.441910,24.40
1775413328.447510,24.49
1775413329.454589,23.54
1775413330.457082,21.92
1775413331.460806,22.97
1775413332.474672,26.16
1775413333.502613,27.78
1775413334.506643,24.75
1775413335.511020,24.03
1775413336.520666,21.67
1775413337.528947,22.80
1775413338.531755,22.65
1775413339.539542,25.06
1775413340.542178,22.27
1775413341.545917,21.26
1775413342.548881,24.17
1775413343.560193,25.28
1775413344.562567,23.83
1775413345.567384,23.33
1775413346.574031,21.46
1775413347.583556,24.32
1775413348.589237,24.64
1775413349.590748,22.31
1775413350.595653,21.16
1775413351.609081,22.66
1775413352.613270,27.88
1775413353.631699,27.85
1775413354.635329,25.94
1775413355.637790,25.70
1775413356.644690,25.53
1775413357.658390,26.94
1775413358.661029,25.31
1775413359.677118,25.11
1775413360.683603,25.19
1775413361.691663,23.74
1775413362.695217,25.06
1775413363.701619,24.46
1775413364.720101,23.46
1775413365.727989,22.31
1775413366.734458,21.39
1775413367.742310,27.50
1775413368.745049,26.06
1775413369.754256,26.87
1775413370.763803,24.40
1775413371.768008,24.24
1775413372.773846,26.06
1775413373.776698,23.51
1775413374.785057,23.30
1775413375.794432,23.31
1775413376.799015,25.73
1775413377.812706,26.99
1775413378.821360,27.57
1775413379.833337,25.25
1775413380.834605,26.15
1775413381.860175,26.78
1775413382.875042,26.37
1775413383.878670,24.61
1775413384.884950,23.83
1775413385.890173,23.62
1775413386.894369,23.95
1775413387.898014,21.56
1775413388.901416,21.62
1775413389.904740,21.22
