ts,cpu
1775413693.285898,22.92
1775413694.293952,26.11
1775413695.296447,22.79
1775413696.299865,23.41
1775413697.307785,25.64
1775413698.313631,25.98
1775413699.316384,24.15
1775413700.327766,23.63
1775413701.330990,24.38
1775413702.369199,25.41
1775413703.376829,24.08
1775413704.380535,22.17
1775413705.382647,23.95
1775413706.388258,25.25
1775413707.392257,25.25
1775413708.403548,28.14
1775413709.420189,27.44
1775413710.427801,26.22
1775413711.466403,25.93
1775413712.473029,27.61
1775413713.485960,27.31
1775413714.487312,24.75
1775413715.494220,26.19
1775413716.495983,25.56
1775413717.503226,22.47
1775413718.525515,25.95
1775413719.537390,24.27
1775413720.546703,24.64
1775413721.552978,22.99
1775413722.557457,25.67
1775413723.566415,24.49
1775413724.567706,25.45
1775413725.572816,22.92
1775413726.587387,24.07
1775413727.636873,25.99
1775413728.639880,25.62
1775413729.642350,24.06
1775413730.649840,19.83
1775413731.652750,21.12
1775413732.655972,26.02
1775413733.663424,25.70
1775413734.666887,24.86
1775413735.669908,24.23
1775413736.677536,25.03
1775413737.691114,26.04
1775413738.698040,28.20
1775413739.702948,25.14
1775413740.710606,26.30
1775413741.721325,26.16
1775413742.731074,29.14
1775413743.732934,27.87
1775413744.737420,23.24
1775413745.739591,22.16
1775413746.743749,23.62
1775413747.755981,24.55
1775413748.770749,26.17
1775413749.779744,25.08
1775413750.786726,22.56
1775413751.792224,24.03
1775413752.801405,25.50
1775413753.806881,24.11
1775413754.811490,24.49
1775413755.814062,22.43
1775413756.816856,23.21
1775413757.821818,24.66
1775413758.825898,23.77
1775413759.828607,23.06
1775413760.835545,22.57
1775413761.843345,23.10
1775413762.846668,25.08
1775413763.858382,24.46
1775413764.860932,23.39
1775413765.867298,23.16
1775413766.876590,24.35
1775413767.882738,25.98
1775413768.891577,23.41
1775413769.895310,23.97
1775413770.900364,21.33
1775413771.905692,22.35
1775413772.913001,25.47
1775413773.916883,23.80
1775413774.922163,24.89
1775413775.926263,24.00
1775413776.928604,23.30
1775413777.939915,24.67
1775413778.942130,24.26
1775413779.943928,20.58
1775413780.946785,19.68
1775413781.951142,21.88
1775413782.953140,23.29
1775413783.955649,24.86
1775413784.960269,21.99
1775413785.968108,23.21
1775413786.973640,22.74
1775413787.983349,25.50
1775413788.993970,23.31
1775413789.998864,22.83
1775413791.000506,20.58
1775413792.011919,21.90
1775413793.017899,24.37
1775413794.039562,25.11
1775413795.058284,24.81
1775413796.061249,22.75
1775413797.066932,23.97
1775413798.076038,25.28
1775413799.083006,24.97
1775413800.088560,23.23
1775413801.095445,25.17
1775413802.104591,26.75
1775413803.107655,24.37
1775413804.111125,23.51
1775413805.113836,21.86
1775413806.117143,22.76
1775413807.123854,24.58
1775413808.127265,24.69
1775413809.136917,23.48
1775413810.144047,21.74
1775413811.150173,20.76
1775413812.153625,23.33
1775413813.162846,22.70
1775413814.171429,21.57
1775413815.178756,21.66
1775413816.183387,21.28
1775413817.191559,23.23
1775413818.201335,23.78
1775413819.207682,22.11
1775413820.209524,23.37
1775413821.216343,22.45
1775413822.218730,23.95
1775413823.226438,24.60
1775413824.228283,24.80
1775413825.231082,22.99
1775413826.238216,20.62
1775413827.244579,21.55
1775413828.273001,25.46
1775413829.274432,25.28
1775413830.280770,23.74
1775413831.284014,23.36
1775413832.292779,29.15
1775413833.296636,26.30
1775413834.303531,25.03
1775413835.316933,25.47
1775413836.326525,23.37
1775413837.332559,24.55
1775413838.336264,20.69
1775413839.343378,21.31
1775413840.346066,21.71
1775413841.356967,21.67
1775413842.365571,23.60
1775413843.378859,24.38
1775413844.384224,25.28
1775413845.390531,24.58
1775413846.402388,22.94
1775413847.422109,26.15
1775413848.432453,24.25
1775413849.440691,22.77
1775413850.443215,21.24
1775413851.447951,20.22
1775413852.478887,24.00
1775413853.482773,24.46
1775413854.490854,23.84
1775413855.495757,24.66
1775413856.500978,23.31
1775413857.507863,24.94
1775413858.510266,26.62
1775413859.517576,25.06
1775413860.523612,23.35
1775413861.527579,22.08
1775413862.531328,24.43
1775413863.544441,24.58
1775413864.551324,24.46
1775413865.556442,24.32
1775413866.562528,24.69
1775413867.577106,25.86
1775413868.595813,26.30
1775413869.609567,25.25
1775413870.613561,22.83
1775413871.615891,23.48
1775413872.626513,25.69
1775413873.648586,25.92
1775413874.650831,21.94
